step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,36221.46,C98429450,43588.34,7366.88,M42115895,52074.93,88296.39,0,0
1,CASH_OUT,594257.22,C19046318,693077.59,98820.37,C29173414,88455.2,0.0,1,0
1,CASH_OUT,898.12,C70505620,1080.31,182.19,C42342202,47948.93,48847.05,0,0
1,PAYMENT,99.76,C58667035,326182.84,326083.08,C33414716,0.0,0.0,0,0
1,DEBIT,4645.41,C74287863,6156.62,1511.21,M41168067,7370.94,12016.35,0,0
1,CASH_OUT,154.0,C54250344,252.16,98.16,M48329479,95166.21,95320.21,0,0
1,CASH_IN,8982.15,C10435578,12037.97,3055.82,C33505978,37545.79,46527.94,0,0
1,PAYMENT,311.02,C85291541,274429.04,274118.02,M92467167,0.0,0.0,0,0
1,PAYMENT,554.13,C78901038,170299.39,169745.26,M64504816,0.0,0.0,0,0
1,TRANSFER,6886.44,C32084778,7526.74,640.3,C61369075,188546.01,195432.45,0,0
1,PAYMENT,1429.56,C52169044,445097.13,443667.57,C42020689,0.0,0.0,0,0
1,PAYMENT,528.27,C86460539,52426.39,51898.12,M63440127,0.0,0.0,0,0
1,TRANSFER,7407.22,C27105448,22900.09,15492.87,C99929175,144685.58,152092.8,0,0
1,CASH_OUT,1163.68,C25419645,1818.89,655.21,C63795149,23754.83,24918.51,0,0
2,TRANSFER,10870.06,C52235350,38257.87,27387.81,C60981231,31564.4,42434.46,0,0
2,PAYMENT,1413.0,C26247735,214947.77,213534.77,M67192331,0.0,0.0,0,0
2,PAYMENT,110.9,C43183955,331686.07,331575.17,C72267186,0.0,0.0,0,0
2,CASH_IN,16903.15,C93334601,23653.42,6750.27,C10697290,2573.57,19476.72,0,0
2,CASH_OUT,1866.44,C93370583,2172.3,305.86,C25328557,84376.91,86243.35,0,0
2,PAYMENT,1739.13,C72535301,199938.74,198199.61,C79420474,0.0,0.0,0,0
2,TRANSFER,1661.83,C54265498,2116.19,454.36,C57505459,109281.08,110942.91,0,0
2,TRANSFER,519.92,C25492573,1096.1,576.18,C38428357,89709.28,90229.2,0,0
2,CASH_IN,1547.29,C38682516,2986.45,1439.16,C21097943,22624.23,24171.52,0,0
2,CASH_OUT,1917.73,C54988206,4802.9,2885.17,C65831276,66746.85,68664.58,0,0
2,TRANSFER,9594.69,C51273847,25179.8,15585.11,C29081953,194170.4,203765.09,0,0
2,PAYMENT,5249.21,C61185849,277693.75,272444.54,M66087572,0.0,0.0,0,0
2,CASH_OUT,14075.47,C60043345,25860.36,11784.89,C29585415,53551.44,67626.91,0,0
3,DEBIT,4605.27,C35770506,8978.66,4373.39,C75825262,88165.39,92770.66,0,0
3,CASH_IN,513.28,C87201917,594.33,81.05,C18087373,90277.72,90791.0,0,0
3,PAYMENT,79.42,C22960658,252046.53,251967.11,M26460116,0.0,0.0,0,0
3,PAYMENT,748.2,C70549373,400624.27,399876.07,C50323741,0.0,0.0,0,0
3,PAYMENT,2656.84,C25253751,75428.93,72772.09,C70532325,0.0,0.0,0,0
3,TRANSFER,4057.63,C83284724,15610.45,11552.82,C45189912,34265.79,38323.42,0,0
3,TRANSFER,1922.78,C93303777,2168.95,246.17,C53191535,16595.34,18518.12,0,0
3,CASH_OUT,437.38,C15820356,1156.93,719.55,C64395532,14787.83,15225.21,0,0
3,CASH_IN,7447.42,C85957706,12210.04,4762.62,C11534878,72710.3,80157.72,0,0
3,PAYMENT,18.31,C72270726,45339.67,45321.36,M32099899,0.0,0.0,0,0
3,CASH_OUT,6185.48,C75491202,16782.74,10597.26,C96126771,51968.82,58154.3,0,0
3,CASH_OUT,1058107.88,C91722503,1157345.75,99237.87,C70693413,11251.88,0.0,1,0
3,CASH_OUT,434.65,C49375156,1273.38,838.73,C67653606,10020.4,10455.05,0,0
3,TRANSFER,1577.8,C10965138,5297.05,3719.25,C74796438,173627.58,175205.38,0,0
4,DEBIT,4931.51,C69619341,13590.19,8658.68,C76521096,26413.66,31345.17,0,0
4,PAYMENT,108.5,C71031132,286867.57,286759.07,C84757265,0.0,0.0,0,0
4,PAYMENT,599.97,C67985905,87755.46,87155.49,M69741812,0.0,0.0,0,0
4,CASH_OUT,5124.45,C54398056,12102.03,6977.58,M78333267,40171.99,45296.44,0,0
