case_id,amount,tx_velocity_1h,origin_balance_drain_ratio,urgency_signal,coercion_pressure_signal,authority_claim_signal,has_obfuscated_url,recipient_age_days,kyc_verified,is_masked_virtual_handle,connected_entities,elevated_risk_mule_hops,cluster_risk_score,story_mismatch_detected,is_fraud
SYN-ADV-00001,4530.18,1,0.15,0,0,0,0,1203,1,0,1,0,3.8,0,0
SYN-ADV-00002,10.0,1,0.12,1,1,1,0,9,0,1,1,0,15.0,1,1
SYN-ADV-00003,22635.25,4,0.57,1,0,0,0,219,1,0,2,0,31.1,0,0
SYN-ADV-00004,10.0,4,0.74,1,1,1,1,15,0,1,10,2,87.5,1,1
SYN-ADV-00005,500.0,2,0.74,1,1,1,0,8,0,1,9,1,85.4,1,1
SYN-ADV-00006,3031.85,1,0.1,0,0,0,0,1305,1,0,1,0,10.9,0,0
SYN-ADV-00007,67079.99,3,0.58,1,0,1,0,206,1,0,3,0,18.7,0,0
SYN-ADV-00008,26190.41,3,0.55,1,0,0,0,249,1,0,2,0,21.2,1,0
SYN-ADV-00009,10.0,3,0.57,1,1,1,1,17,0,0,5,1,87.0,1,1
SYN-ADV-00010,7345.72,3,0.15,0,0,1,1,10,1,0,6,3,82.5,1,1
SYN-ADV-00011,500.0,8,0.58,1,1,1,1,27,1,0,10,4,72.4,0,1
SYN-ADV-00012,318.92,2,0.06,0,0,0,0,1186,1,0,1,0,3.1,0,0
SYN-ADV-00013,1130.89,1,0.2,0,0,0,0,2381,1,0,1,0,3.7,0,0
SYN-ADV-00014,531.33,1,0.06,0,0,0,0,1933,1,0,1,0,14.1,0,0
SYN-ADV-00015,60189.41,4,0.41,1,0,0,0,276,1,0,2,0,11.4,1,0
SYN-ADV-00016,533.27,1,0.01,0,0,0,0,441,1,0,1,0,2.9,0,0
SYN-ADV-00017,15873.64,2,0.28,1,1,0,0,1880,1,0,6,1,59.2,1,1
SYN-ADV-00018,30165.75,3,0.34,1,0,0,0,901,1,0,3,1,55.2,0,1
SYN-ADV-00019,25.0,1,0.11,1,1,1,0,2,0,1,1,0,21.1,0,1
SYN-ADV-00020,1098.04,1,0.13,0,0,0,0,260,1,0,1,0,14.0,0,0
SYN-ADV-00021,18304.89,5,0.44,1,0,1,0,46,0,0,3,0,30.4,0,0
SYN-ADV-00022,25000.0,7,0.64,1,1,0,1,20,0,1,5,4,83.1,1,1
SYN-ADV-00023,10.0,1,0.17,1,1,0,1,15,0,1,1,0,24.2,1,1
SYN-ADV-00024,10.0,5,0.59,1,1,1,0,13,0,1,9,4,79.0,1,1
SYN-ADV-00025,4500.0,6,0.85,0,1,1,1,14,1,0,10,3,75.5,1,1
